Get Commands Atem Television ----------------------
|08|0c|80|49|00|00|00|00|00|00|00|06
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|80|0c|80|49|00|01|00|00|00|64|00|00
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|ad|78|80|49|00|02|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|80|0c|80|49|00|03|00|00|00|64|00|00
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|ad|78|80|49|00|04|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|2c|58|80|49|00|00|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
|2d|78|80|49|00|00|00|00|00|00|00|01
|2d|8c|80|49|00|00|00|00|00|00|00|02
|2d|8c|80|49|00|00|00|00|00|00|00|03
|2d|88|80|49|00|00|00|00|00|00|00|04
|ac|58|80|49|00|05|00|00|00|00|00|05
|28|0c|80|49|00|00|00|00|00|00|00|06
